run_id,timestamp,epoch,build_order,phase,template,site_code,target,seconds,note
1789913904-1669380,2026-09-20T16:18:24+02:00,1789913904,parallel,run_start,-,-,-,0,domains=86 targets=20 steps=1720 sbranch=26091920sta
1789913904-1669380,2026-09-20T17:40:13+02:00,1789918813,parallel,prepare,-,-,-,4908,
1789913904-1669380,2026-09-20T18:02:21+02:00,1789920141,parallel,build,21_dias-key,21_dias,ramips-mt76x8,1328,
1789913904-1669380,2026-09-20T18:22:59+02:00,1789921379,parallel,build,21_dias-key,21_dias,rockchip-armv8,1196,
1789913904-1669380,2026-09-20T18:44:06+02:00,1789922646,parallel,build,21_dias-key,21_dias,x86-generic,1264,
1789913904-1669380,2026-09-20T19:14:48+02:00,1789924488,parallel,build,21_dias-key,21_dias,x86-64,1812,
1789913904-1669380,2026-09-20T19:35:21+02:00,1789925721,parallel,build,21_dias-key,21_dias,bcm27xx-bcm2710,1216,
1789913904-1669380,2026-09-20T19:56:14+02:00,1789926974,parallel,build,21_dias-key,21_dias,bcm27xx-bcm2711,1234,
1789913904-1669380,2026-09-20T20:13:20+02:00,1789928000,parallel,build,21_dias,21_dias,bcm27xx-bcm2711,780,
1789913904-1669380,2026-09-20T20:16:20+02:00,1789928180,parallel,build,21_dias,21_dias,x86-generic,775,
1789913904-1669380,2026-09-20T20:24:52+02:00,1789928692,parallel,build,21_dias,21_dias,mediatek-filogic,1712,
1789913904-1669380,2026-09-20T20:25:01+02:00,1789928701,parallel,build,21_dias,21_dias,ramips-mt7620,1542,
1789913904-1669380,2026-09-20T20:25:08+02:00,1789928708,parallel,build,10_wlf-key,10_wlf,bcm27xx-bcm2711,703,
1789913904-1669380,2026-09-20T20:28:04+02:00,1789928884,parallel,build,10_wlf-key,10_wlf,x86-generic,669,
1789913904-1669380,2026-09-20T20:34:39+02:00,1789929279,parallel,build,10_wlf-key,10_wlf,ramips-mt7620,574,
1789913904-1669380,2026-09-20T20:35:06+02:00,1789929306,parallel,build,10_wlf-key,10_wlf,mediatek-filogic,608,
1789913904-1669380,2026-09-20T20:35:28+02:00,1789929328,parallel,build,10_wlf,10_wlf,bcm27xx-bcm2711,619,
1789913904-1669380,2026-09-20T20:39:31+02:00,1789929571,parallel,build,10_wlf,10_wlf,x86-generic,660,
1789913904-1669380,2026-09-20T20:44:29+02:00,1789929869,parallel,build,10_wlf,10_wlf,ramips-mt7620,570,
1789913904-1669380,2026-09-20T20:45:35+02:00,1789929935,parallel,build,48_rdvw-key,48_rdvw,bcm27xx-bcm2711,604,
